standard_name,short_name,nutrient,unit,aed2,selmaprotbas,wet,mylake,pclake
wq_po4_gramsPerMeterCubed,inflow_po4,P,gramsPerMeterCubed,PHS_frp,selmaprotbas_po,abiotic_water_sPO4W,TP,"mPLoadPO4Epi/ReadPLoad,ReadNutFrac,InclTran"
wq_pop_gramsPerMeterCubed,inflow_pop,P,gramsPerMeterCubed,OGM_pop,selmaprotbas_dd_p,POM_sPW,DOP,"mPLoadOrgEpi/ReadPLoad,ReadNutFrac,InclTran"
wq_dop_gramsPerMeterCubed,inflow_dop,P,gramsPerMeterCubed,OGM_dop,-,DOM_sPW,DOP,-
wq_no3_gramsPerMeterCubed,inflow_no3,N,gramsPerMeterCubed,NIT_nit,selmaprotbas_nn,abiotic_water_sNO3W,-,"mNLoadNO3Epi/ReadNLoad,ReadNutFrac,InclTran"
wq_nh4_gramsPerMeterCubed,inflow_nh4,N,gramsPerMeterCubed,NIT_amm,selmaprotbas_aa,abiotic_water_sNH4W,-,"mNLoadNH4Epi/ReadNLoad,ReadNutFrac,InclTran"
wq_pon_gramsPerMeterCubed,inflow_pon,N,gramsPerMeterCubed,OGM_pon,selmaprotbas_dd_n,POM_sNW,-,"mNLoadOrgEpi/ReadNLoad,ReadNutFrac,InclTran"
wq_don_gramsPerMeterCubed,inflow_don,N,gramsPerMeterCubed,OGM_don,-,DOM_sNW,-,-
wq_sio2_gramsPerMeterCubed,inflow_sio2,Si,gramsPerMeterCubed,SIL_rsi,selmaprotbas_si,abiotic_water_sSiO2W,-,mSiLoadSiO2Epi/ReadTranFrac
