metric_name,metric_short_name,domain,module,level,variable_global_name,unit_global,variable_model_name,depth_01,model,unit_model,conversion_factor,function_name
Metalimnion_Thickness_meter,Meta_Thick,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,GLM,celcius,1,cal_meta_depth
Metalimnion_Thickness_meter,Meta_Thick,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,SELMAPROTBAS,celcius,1,cal_meta_depth
Metalimnion_Thickness_meter,Meta_Thick,Water,LER,Level1,Temp_degreeCelcius,degreeCelcius,temp,1,WET,celcius,1,cal_meta_depth
NH4_gramsPerCubicMeter,NH4,Water,Nitrogen,Level1,NH4_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sNH4W,1,WET,g/m3,1,
NH4_gramsPerCubicMeter,NH4,Water,Nitrogen,Level1,NH4_gramsPerCubicMeter,gramsPerCubicMeter,selmaprotbas_Amm,1,SELMAPROTBAS,mg NH4N/m**3,0.001,
NH4_gramsPerCubicMeter,NH4,Water,Nitrogen,Level1,NH4_gramsPerCubicMeter,gramsPerCubicMeter,NIT_amm,1,GLM,mmol N/m3,0.014,
NO3_gramsPerCubicMeter,NO3,Water,Nitrogen,Level1,NO3_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sNO3W,1,WET,g/m3,1,
NO3_gramsPerCubicMeter,NO3,Water,Nitrogen,Level1,NO3_gramsPerCubicMeter,gramsPerCubicMeter,selmaprotbas_Nit,1,SELMAPROTBAS,mg NO3N/m**3,0.001,
NO3_gramsPerCubicMeter,NO3,Water,Nitrogen,Level1,NO3_gramsPerCubicMeter,gramsPerCubicMeter,NIT_nit,1,GLM,mmol N/m3,0.014,
Number_Of_Anoxic_Day,Anoxic_Day,Water,Oxygen,Level1,DO_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sO2W,1,WET,g/m3,1,cal_anoxic_date
Number_Of_Anoxic_Day,Anoxic_Day,Water,Oxygen,Level1,DO_gramsPerCubicMeter,gramsPerCubicMeter,selmaprotbas_DO_mg,1,SELMAPROTBAS,mg O2/m**3,0.001,cal_anoxic_date
