"include","module","domain","process","subprocess","model_coupled","parameter","default","lower","upper","initial","log","unit","path","note"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","Fsed_amm",22,17.6,26.4,22,FALSE,"?","aed2_nitrogen/Fsed_amm","Sediment-water flux for ammonium"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_ammonium","SIMSTRAT-AED2","Fsed_amm",22,17.6,26.4,22,FALSE,"?","aed2_nitrogen/Fsed_amm","Sediment-water flux for ammonium"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_ammonium","GLM-AED2","Ksed_amm",15,12,18,15,FALSE,"mmol m-3","aed2_nitrogen/Ksed_amm","saturation concentration in ammonium sediment flux equation"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_ammonium","SIMSTRAT-AED2","Ksed_amm",15,12,18,15,FALSE,"mmol m-3","aed2_nitrogen/Ksed_amm","saturation concentration in ammonium sediment flux equation"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_n2o","GLM-AED2","Fsed_n2o",0,0,0,0,FALSE,"?","aed2_nitrogen/Fsed_n2o","Sediment-water flux for n2o"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_n2o","SIMSTRAT-AED2","Fsed_n2o",0,0,0,0,FALSE,"?","aed2_nitrogen/Fsed_n2o","Sediment-water flux for n2o"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_n2o","GLM-AED2","Ksed_n2o",100,80,120,100,FALSE,"?","aed2_nitrogen/Ksed_n2o","saturation concentration in n2o sediment equation"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_n2o","SIMSTRAT-AED2","Ksed_n2o",100,80,120,100,FALSE,"?","aed2_nitrogen/Ksed_n2o","saturation concentration in n2o sediment equation"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","theta_sed_nit",1.07,0.856,1.284,1.07,FALSE,"?","aed2_nitrogen/theta_sed_nit","Arrhenius temperature multiplier for nitrate sediment flux"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","SIMSTRAT-AED2","theta_sed_nit",1.07,0.856,1.284,1.07,FALSE,"?","aed2_nitrogen/theta_sed_nit","Arrhenius temperature multiplier for nitrate sediment flux"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","Fsed_nit",-7,-5.6,-8.4,-7,FALSE,"?","aed2_nitrogen/Fsed_nit","Sediment-water flux for nitrate"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","SIMSTRAT-AED2","Fsed_nit",-7,-5.6,-8.4,-7,FALSE,"?","aed2_nitrogen/Fsed_nit","Sediment-water flux for nitrate"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","GLM-AED2","Ksed_nit",15,12,18,15,FALSE,"mmol m-3","aed2_nitrogen/Ksed_nit","saturation concentration in nitrate sediment flux equation"
FALSE,"nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","SIMSTRAT-AED2","Ksed_nit",15,12,18,15,FALSE,"mmol m-3","aed2_nitrogen/Ksed_nit","saturation concentration in nitrate sediment flux equation"
FALSE,"nitrogen","water","ammonium_oxidation","ammonium_oxidation","GLM-AED2","Kpart_ammox",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Kpart_ammox","saturation concentration in ammonium oxidation equation"
FALSE,"nitrogen","water","ammonium_oxidation","ammonium_oxidation","SIMSTRAT-AED2","Kpart_ammox",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Kpart_ammox","saturation concentration in ammonium oxidation equation"
FALSE,"nitrogen","water","anammox","anammox","GLM-AED2","Ranammox",0.001,8e-04,0.0012,0.001,FALSE,"?","aed2_nitrogen/Ranammox","anaerobic ammonium oxidation rate"
FALSE,"nitrogen","water","anammox","anammox","SIMSTRAT-AED2","Ranammox",0.001,8e-04,0.0012,0.001,FALSE,"?","aed2_nitrogen/Ranammox","anaerobic ammonium oxidation rate"
FALSE,"nitrogen","water","anammox","anammox","GLM-AED2","Kin_deamm",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Kin_deamm","saturation concentration in deammonification equation"
FALSE,"nitrogen","water","anammox","anammox","SIMSTRAT-AED2","Kin_deamm",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Kin_deamm","saturation concentration in deammonification equation"
FALSE,"nitrogen","water","anammox","anammox","GLM-AED2","Kanmx_amm",2,1.6,2.4,2,FALSE,"?","aed2_nitrogen/Kanmx_amm","saturation concentration in anammox equation for ammonium"
FALSE,"nitrogen","water","anammox","anammox","SIMSTRAT-AED2","Kanmx_amm",2,1.6,2.4,2,FALSE,"?","aed2_nitrogen/Kanmx_amm","saturation concentration in anammox equation for ammonium"
FALSE,"nitrogen","water","anammox","anammox","GLM-AED2","Kanmx_nit",2,1.6,2.4,2,FALSE,"?","aed2_nitrogen/Kanmx_nit","saturation concentration in anammox equation for nitrate"
FALSE,"nitrogen","water","anammox","anammox","SIMSTRAT-AED2","Kanmx_nit",2,1.6,2.4,2,FALSE,"?","aed2_nitrogen/Kanmx_nit","saturation concentration in anammox equation for nitrate"
FALSE,"phytoplankton","water","vertical_movement","equation_options_vertical_movement","GOTM-WET","fLVMmin",0.025,0.02,0.03,0.025,FALSE,"W/m2","{group_name}/parameters/fLVMmin","qTrans > 2; minimum detectable PAR level"
FALSE,"nitrogen","water","denitrification","denitrification","GOTM-Selmaprotbas","ade_r0",0.1,0.08,0.12,0.1,FALSE,"d-1","selmaprotbas/parameters/ade_r0","maximum chemoautolithotrophic denitrification rate"
FALSE,"nitrogen","water","denitrification","denitrification","GLM-AED2","Rdenit",0.2,0.16,0.24,0.2,FALSE,"d-1","aed2_nitrogen/Rdenit","maximum reaction rate of denitrification @ 20C"
FALSE,"nitrogen","water","denitrification","denitrification","SIMSTRAT-AED2","Rdenit",0.2,0.16,0.24,0.2,FALSE,"d-1","aed2_nitrogen/Rdenit","maximum reaction rate of denitrification @ 20C"
FALSE,"nitrogen","water","denitrification","denitrification","GOTM-Selmaprotbas","alphaade",1,0.8,1.2,1,FALSE,"mmol N m-3","selmaprotbas/parameters/alphaade","half-saturation constant for chemoautolithotrophic denitrification"
FALSE,"nitrogen","water","denitrification","denitrification","GLM-AED2","theta_denit",1.07,0.856,1.284,1.07,FALSE,"-","aed2_nitrogen/theta_denit","Arrhenius temperature multiplier for denitrification"
FALSE,"nitrogen","water","denitrification","denitrification","SIMSTRAT-AED2","theta_denit",1.07,0.856,1.284,1.07,FALSE,"-","aed2_nitrogen/theta_denit","Arrhenius temperature multiplier for denitrification"
FALSE,"nitrogen","water","denitrification","denitrification","GLM-AED2","Kdenit",18,14.4,21.6,18,FALSE,"mmol m-3","aed2_nitrogen/Kdenit","saturation concentration in denitrification equation"
FALSE,"nitrogen","water","denitrification","denitrification","SIMSTRAT-AED2","Kdenit",18,14.4,21.6,18,FALSE,"mmol m-3","aed2_nitrogen/Kdenit","saturation concentration in denitrification equation"
FALSE,"phosphorus","sediment","absorption","absorption","GOTM-WET","fRedMaxS",0.96,0.768,1.152,0.96,FALSE,"-","abiotic_sediment/parameters/fRedMaxS","max. reduction factor of P adsorption affinity"
FALSE,"phosphorus","water","absorption","absorption","GOTM-WET","fRedMaxW",0.9,0.72,1.08,0.9,FALSE,"-","abiotic_water/parameters/fRedMaxW","maximum reduction factor of P adsorption affinity"
FALSE,"nitrogen","water","denitrification","nitrate_reduc_to_ammonium","GLM-AED2","Rdnra",0.01,0.008,0.012,0.01,FALSE,"?","aed2_nitrogen/Rdnra","rate of dissimilatory nitrate reduction to ammonium"
FALSE,"nitrogen","water","denitrification","nitrate_reduc_to_ammonium","SIMSTRAT-AED2","Rdnra",0.01,0.008,0.012,0.01,FALSE,"?","aed2_nitrogen/Rdnra","rate of dissimilatory nitrate reduction to ammonium"
FALSE,"nitrogen","water","denitrification","nitrate_reduc_to_ammonium","GLM-AED2","Kdnra_oxy",2,1.6,2.4,2,FALSE,"?","aed2_nitrogen/Kdnra_oxy","saturation concentration in DNRA equation"
FALSE,"nitrogen","water","denitrification","nitrate_reduc_to_ammonium","SIMSTRAT-AED2","Kdnra_oxy",2,1.6,2.4,2,FALSE,"?","aed2_nitrogen/Kdnra_oxy","saturation concentration in DNRA equation"
FALSE,"nitrogen","water","initial_conditions","initial_ammonium","GLM-AED2","amm_initial",2.6,2.08,3.12,2.6,FALSE,"mmol N m-3","aed2_nitrogen/amm_initial","initial NH4 concentration"
FALSE,"nitrogen","water","initial_conditions","initial_ammonium","SIMSTRAT-AED2","amm_initial",2.6,2.08,3.12,2.6,FALSE,"mmol N m-3","aed2_nitrogen/amm_initial","initial NH4 concentration"
FALSE,"nitrogen","water","initial_conditions","initial_ammonium","GOTM-Selmaprotbas","aa",0.85,0.68,1.02,0.85,FALSE,"mmol N m-3","selmaprotbas/initialization/aa","initial dissolved ammonium in the water column"
FALSE,"nitrogen","water","initial_conditions","initial_n2o","GLM-AED2","n2o_initial",0.1,0.08,0.12,0.1,FALSE,"?","aed2_nitrogen/n2o_initial","initial n2o in the water column"
FALSE,"nitrogen","water","initial_conditions","initial_n2o","SIMSTRAT-AED2","n2o_initial",0.1,0.08,0.12,0.1,FALSE,"?","aed2_nitrogen/n2o_initial","initial n2o in the water column"
FALSE,"nitrogen","water","initial_conditions","initial_nitrate","GLM-AED2","nit_initial",0.1,0.08,0.12,0.1,FALSE,"mmol N m-3","aed2_nitrogen/nit_initial","initial NO3 concentration"
FALSE,"nitrogen","water","initial_conditions","initial_nitrate","SIMSTRAT-AED2","nit_initial",0.1,0.08,0.12,0.1,FALSE,"mmol N m-3","aed2_nitrogen/nit_initial","initial NO3 concentration"
FALSE,"nitrogen","water","initial_conditions","initial_nitrate","GOTM-Selmaprotbas","nn",3.5,2.8,4.2,3.5,FALSE,"mmol N m-3","selmaprotbas/initialization/nn","initial dissolved nitrate in the water column"
FALSE,"macrophytes","sediment","growth","phenology","GOTM-WET","fRootVegSum",0.1,0.08,0.12,0.1,FALSE,"groot/gveg","{group_name}/parameters/fRootVegSum","root fraction during growing season"
FALSE,"nitrogen","water","initial_conditions","initial_pom","GOTM-Selmaprotbas","dd_n",0,0,0,0,FALSE,"mmol N m-3","selmaprotbas/initialization/dd_n","initial detritus-N in the water column"
FALSE,"macrophytes","sediment","growth","phenology","GOTM-WET","fRootVegWin",0.6,0.48,0.72,0.6,FALSE,"groot/gveg","{group_name}/parameters/fRootVegWin","root fraction outside of growing season"
FALSE,"nitrogen","water","nitrification","equation_options","GLM-AED2","simN2O",0,0,0,0,FALSE,"(integer)","aed2_nitrogen/simN2O","1: ; 2:"
FALSE,"nitrogen","water","nitrification","equation_options","SIMSTRAT-AED2","simN2O",0,0,0,0,FALSE,"(integer)","aed2_nitrogen/simN2O","1: ; 2:"
FALSE,"nitrogen","water","nitrification","nitrification","GLM-AED2","Rn2o",0.05,0.04,0.06,0.05,FALSE,"?","aed2_nitrogen/Rn2o","reaction rate"
FALSE,"nitrogen","water","nitrification","nitrification","SIMSTRAT-AED2","Rn2o",0.05,0.04,0.06,0.05,FALSE,"?","aed2_nitrogen/Rn2o","reaction rate"
FALSE,"nitrogen","water","nitrification","nitrification","GLM-AED2","Rnitrif",0.05,0.04,0.06,0.05,FALSE,"d-1","aed2_nitrogen/Rnitrif","maximum reaction rate of nitrification @ 20C"
FALSE,"nitrogen","water","nitrification","nitrification","SIMSTRAT-AED2","Rnitrif",0.05,0.04,0.06,0.05,FALSE,"d-1","aed2_nitrogen/Rnitrif","maximum reaction rate of nitrification @ 20C"
FALSE,"nitrogen","water","nitrification","nitrification","GLM-AED2","Rnh4o2",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Rnh4o2","reaction rate"
FALSE,"nitrogen","water","nitrification","nitrification","SIMSTRAT-AED2","Rnh4o2",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Rnh4o2","reaction rate"
FALSE,"nitrogen","water","nitrification","nitrification","GLM-AED2","Rno2o2",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Rno2o2","reaction rate"
FALSE,"nitrogen","water","nitrification","nitrification","SIMSTRAT-AED2","Rno2o2",1,0.8,1.2,1,FALSE,"?","aed2_nitrogen/Rno2o2","reaction rate"
FALSE,"nitrogen","water","nitrification","nitrification","GLM-AED2","theta_nitrif",1.07,0.856,1.284,1.07,FALSE,"-","aed2_nitrogen/theta_nitrif","Arrhenius temperature multiplier for nitrification"
FALSE,"nitrogen","water","nitrification","nitrification","SIMSTRAT-AED2","theta_nitrif",1.07,0.856,1.284,1.07,FALSE,"-","aed2_nitrogen/theta_nitrif","Arrhenius temperature multiplier for nitrification"
