"","module","domain","process","subprocess","model","parameter","path","unit","default","version","note"
"211","fish","water","initial_conditions","initial_fish","pclake","sPFiAd0","initialstates/sPFiAd0","gP*m^-2","","1.0.0","Adult_fish_P_in_lake_water"
"212","fish","water","initial_conditions","initial_fish","pclake","sPFiJv0","initialstates/sPFiJv0","gP*m^-2","","1.0.0","Young_fish_P_in_lake_water"
"213","fish","water","initial_conditions","initial_fish","pclake","uDFish0","initialstates/uDFish0","gDW*m^-2","","1.0.0","Total_initial_DW_in_white_fish_in_the_lake"
"214","fish","water","initial_conditions","initial_fish","pclake","uNFish0","initialstates/uNFish0","gN*m^-2","","1.0.0","Total_initial_N_in_white_fish_in_the_lake"
"215","fish","water","initial_conditions","initial_fish","pclake","uNPisc0","initialstates/uNPisc0","gN*m^-2","","1.0.0","Total_initial_N_in_pisc_Fish_in_the_lake"
"216","fish","water","initial_conditions","initial_fish","pclake","uPFish0","initialstates/uPFish0","gP*m^-2","","1.0.0","Total_initial_P_in_white_fish_in_the_lake"
"217","fish","water","initial_conditions","initial_fish","pclake","uPPisc0","initialstates/uPPisc0","gP*m^-2","","1.0.0","Total_initial_P_in_pisc_Fish_in_the_lake"
"218","phytoplankton","water","growth","equation_options_light_limitation","wet","qLightMethod","{group_name}/parameters/qLightMethod","-","2","1","lightmethod 1=no photoinhibition; 2=photoinhibition"
"219","macrophytes","sediment","initial_conditions","phosphorus_ratio","wet","cPDVeg0","{group_name}/parameters/cPDVeg0","gP/gDW","0.002","1","initial P fraction in veg"
"220","macrophytes","sediment","stoichiometry","phosphorus_ratio","wet","cPDVegMax","{group_name}/parameters/cPDVegMax","mgP/mgDW","0.004","1","maximum P/DW ratio"
"221","fish","water","initial_conditions","maximum_concentration","pclake","cDCarrPiscBare","parameters/cDCarrPiscBare","gDW*m^-2","1","1.0.0","Carrying_capacity_of_Pi_sc_for_lake_without_marsh_zone"
