"","module","domain","process","subprocess","model","parameter","path","unit","default","version","note"
"325","macrophytes","sediment_marsh","marsh","exchange_rate","pclake","kExchMaxM","parameters/kExchMaxM","m^3*m^-3*d^-1","1","1.0.0","Maximum_dispersive_marsh_water_exchange_coefficient"
"326","macrophytes","water","areal_coverage","areal_coverage","pclake","cCovSpPhra","parameters/cCovSpPhra","gDW^-1*m^-2","0.1","1.0.0","Specific_coverage"
"327","macrophytes","water","areal_coverage","areal_coverage","pclake","cCovSpVeg","parameters/cCovSpVeg","gDW^-1*m^2","0.5","1.0.0","Specific_cover"
"328","macrophytes","water","growth","allocation_reeds","pclake","kDAllPhra","parameters/kDAllPhra","d^-1","0.05","1.0.0","Allocation_rate"
"329","macrophytes","water","growth","allocation_reeds","pclake","kDRealPhra","parameters/kDRealPhra","d^-1","0.05","1.0.0","Reallocation_rate_day"
"330","macrophytes","water","growth","allocation_reeds","pclake","fDAllPhra","parameters/fDAllPhra","-","0.3","1.0.0","Allocation_fraction"
"331","macrophytes","water","growth","allocation_reeds","pclake","fDRealPhra","parameters/fDRealPhra","-","0.85","1.0.0","Reallocated_fraction_day"
"332","macrophytes","water","growth","depth_restriction","pclake","fDepth1Veg","parameters/fDepth1Veg","-","0","1.0.0","Max_upper_depth_of_submerged_veget_layer_as_fraction_of_water_depth"
"333","macrophytes","water","growth","depth_restriction","pclake","fDepth2Veg","parameters/fDepth2Veg","-","1","1.0.0","Max_lower_depth_of_submerged_veget_layer_as_fraction_of_water_depth"
"334","macrophytes","water","growth","equation_options_growth","pclake","InclVeg","parameters/InclVeg","(integer)","1","1.0.0","Include_vegetation_module"
"335","macrophytes","water","growth","growth_rate","pclake","cMuPhraMax","parameters/cMuPhraMax","d^-1","0.03","1.0.0","Maximum_growth_rate_reed"
"336","macrophytes","water","growth","growth_rate","pclake","cMuMaxVeg","parameters/cMuMaxVeg","gDW*gDW^-1*d^-1","0.2","1.0.0","Maximum_growth_rate_of_vegetation_at_20oC"
"337","macrophytes","water","growth","light_limitation","pclake","cPhotInitVeg","parameters/cPhotInitVeg","h","12","1.0.0","Hours_in_day_for_initial_growth__photoperiod_"
"338","macrophytes","water","growth","light_limitation","pclake","hLRefVeg","parameters/hLRefVeg","J*s^-1*m^-2","13","1.0.0","Half-sat_light_at_20_oC"
"339","macrophytes","water","growth","light_limitation","pclake","cLAlloVeg","parameters/cLAlloVeg","J*s^-1*m^-1","50.1","1.0.0","Integrated_relativized_light_level_at_which_the_plant_will_start_summer_regrowth_strategy"
"340","macrophytes","water","growth","phenology","pclake","fWinVeg","parameters/fWinVeg","-","0.3","1.0.0","Fraction_surviving_in_winter"
"341","macrophytes","water","growth","phenology","pclake","fDayWin","parameters/fDayWin","-","0.52","1.0.0","Start_autumn"
"342","macrophytes","water","growth","phenology","pclake","cLengAllo","parameters/cLengAllo","d","15","1.0.0","Duration_of_allocation_and_reallocation_phase"
"343","macrophytes","water","growth","phenology","pclake","cLengMort","parameters/cLengMort","d","15","1.0.0","Duration_of_autumn_mortality_period"
"344","macrophytes","water","growth","phenology","pclake","cVegInitLen","parameters/cVegInitLen","d","22","1.0.0","Number_of_days_until_plant_is_allowed_to_break_from_summer_mode_and_redo_initial_allocation_given_summer_has_ended_and_restarted"
"345","macrophytes","water","growth","phenology","pclake","cVegWinLen","parameters/cVegWinLen","d","22","1.0.0","Number_of_days_until_plant_is_allowed_to_break_from_winter_mode_and_redo_winter_allocation_given_winter_has_ended_and_restarted"
"346","macrophytes","water","growth","phenology","pclake","cDayWinPhra","parameters/cDayWinPhra","d","259","1.0.0","Begin_autumn(16_Sept)"
"347","macrophytes","water","growth","phenology","pclake","cDayWinVeg","parameters/cDayWinVeg","d","259","1.0.0","End_of_growing_season_=_16_Sep"
"348","macrophytes","water","growth","temperature_limitation","pclake","cQ10ProdVeg","parameters/cQ10ProdVeg","-","1.2","1.0.0","Temperature_quotient_of_production"
"349","macrophytes","water","growth","temperature_limitation","pclake","cQ10ProdPhra","parameters/cQ10ProdPhra","-","2","1.0.0","Temp_quotient_of_production"
"350","macrophytes","water","growth","temperature_limitation","pclake","cTmInitPhra","parameters/cTmInitPhra","oC","8","1.0.0","Temp_start_initial_growth"
"351","macrophytes","water","growth","temperature_limitation","pclake","cTmInitVeg","parameters/cTmInitVeg","oC","9","1.0.0","Temperature_for_initial_growth"
"352","macrophytes","water","growth","temperature_limitation","pclake","cSigTmVeg","parameters/cSigTmVeg","oC","20","1.0.0","Temperature_constant_vegetation(sigma_in_Gaussian_curve)"
"353","macrophytes","water","growth","temperature_limitation","pclake","cTmOptVeg","parameters/cTmOptVeg","oC","20","1.0.0","Optimum_temperature_of_vegetation"
"354","macrophytes","water","initial_conditions","initial_macrophytes","pclake","cPDPhra0","initialstates/cPDPhra0","gP*gDW^-1","0.002","1.0.0","Initial_P/day_ratio_of_reed"
"355","macrophytes","water","initial_conditions","initial_macrophytes","pclake","cPDVeg0","initialstates/cPDVeg0","gP*gDW^-1","0.002","1.0.0","Initial_P_fraction_in_veg"
"356","macrophytes","water","initial_conditions","initial_macrophytes","pclake","cNDPhra0","initialstates/cNDPhra0","gN*gDW^-1","0.02","1.0.0","Initial_N/day_ratio_of_reed"
"357","macrophytes","water","initial_conditions","initial_macrophytes","pclake","cNDVeg0","initialstates/cNDVeg0","gN*gDW^-1","0.02","1.0.0","Initial_N_fraction_in_veg"
"358","macrophytes","water","initial_conditions","initial_macrophytes","pclake","sDShootPhra0","initialstates/sDShootPhra0","gDW*m^-2","","1.0.0","Shoot_biomass_DW_in_marsh_water"
"359","macrophytes","water","initial_conditions","initial_macrophytes","pclake","sDVeg0","initialstates/sDVeg0","gDW*m^-2","","1.0.0","Vegetation_DW_in_lake_water"
"360","macrophytes","water","initial_conditions","initial_macrophytes","pclake","sNShootPhra0","initialstates/sNShootPhra0","gN*m^-2","","1.0.0","Shoot_biomass_N_in_marsh_water"
"361","macrophytes","water","initial_conditions","initial_macrophytes","pclake","sNVeg0","initialstates/sNVeg0","gN*m^-2","","1.0.0","Vegetation_N_in_lake_water"
"362","macrophytes","water","initial_conditions","initial_macrophytes","pclake","sPShootPhra0","initialstates/sPShootPhra0","gP*m^-2","","1.0.0","Shoot_biomass_P_in_marsh_water"
"363","macrophytes","water","initial_conditions","initial_macrophytes","pclake","sPVeg0","initialstates/sPVeg0","gP*m^-2","","1.0.0","Vegetation_P_in_lake_water"
"364","macrophytes","water","initial_conditions","initial_macrophytes","pclake","sVegHeight0","initialstates/sVegHeight0","m","","1.0.0","Height_of_the_vegetation"
"365","macrophytes","water","initial_conditions","initial_macrophytes","pclake","uDVeg0","initialstates/uDVeg0","gDW*m^-2","","1.0.0","Total_initial_DW_vegetation_in_the_lake"
"366","macrophytes","water","initial_conditions","initial_macrophytes","pclake","uNVeg0","initialstates/uNVeg0","gN*m^-2","","1.0.0","Total_initial_N_vegetation_in_the_lake"
"367","macrophytes","water","initial_conditions","initial_macrophytes","pclake","uPVeg0","initialstates/uPVeg0","gP*m^-2","","1.0.0","Total_initial_P_vegetation_in_the_lake"
"368","macrophytes","water","initial_conditions","maximum_concentration","pclake","cDCarrVeg","parameters/cDCarrVeg","gDW*m^-2","1000","1.0.0","Max_vegetation_standing_crop"
"369","macrophytes","water","light","light_attenuation","pclake","fVegShade","parameters/fVegShade","-","0","1.0.0","Fraction_reduction_of_light_reaching_plants"
"370","macrophytes","water","light","light_attenuation","pclake","cExtSpVeg","parameters/cExtSpVeg","m^2*gDW^-1","0.01","1.0.0","Specific_extinction_of_vegetation"
"371","macrophytes","water","management","mowing","pclake","cDayManVeg1","parameters/cDayManVeg1","d","-9999000","1.0.0","First_mowing_day_(default_non-existent)"
"372","macrophytes","water","management","mowing","pclake","cDayManVeg2","parameters/cDayManVeg2","d","-9999000","1.0.0","Second_mowing_day_(Note_259_=_16_Sep)"
"373","macrophytes","water","management","mowing","pclake","fManPhra","parameters/fManPhra","d^-1","0","1.0.0","Fraction_biomass_loss_by_management"
"374","macrophytes","water","management","mowing","pclake","fManVeg","parameters/fManVeg","-","0","1.0.0","Fraction_removed_by_management_for_submerged_plants"
"375","macrophytes","water","management","mowing","pclake","kDManShootPhra","parameters/kDManShootPhra","d^-1","1","1.0.0","Rate_of_management"
"376","macrophytes","water","management","mowing","pclake","cLengMan","parameters/cLengMan","d","10","1.0.0","Length_of_mowing_period"
"377","macrophytes","water","management","mowing","pclake","cDayManPhra","parameters/cDayManPhra","d","255","1.0.0","Time_of_management"
"378","macrophytes","water","marsh","equation_options_marsh","pclake","InclMarsh","parameters/InclMarsh","(integer)","1","1.0.0","Include_marsh_zone_module"
"379","macrophytes","water","migration","migration","pclake","kMigrVeg","parameters/kMigrVeg","d^-1","0.001","1.0.0","Vegetation_migration_rate"
"380","macrophytes","water","migration","migration","pclake","cDVegIn","parameters/cDVegIn","gDW*m^-2","1","1.0.0","External_vegetation_density"
"381","macrophytes","water","mortality","bird_grazing","pclake","cPrefVegBird","parameters/cPrefVegBird","-","1","1.0.0","Edibility_for_birds"
"382","macrophytes","water","mortality","mortality_rate","pclake","kDMortShootPhra","parameters/kDMortShootPhra","d^-1","0","1.0.0","Mortality_rate_shoots"
"383","macrophytes","water","mortality","mortality_rate","pclake","kDMortRootPhra","parameters/kDMortRootPhra","d^-1","0.000391","1.0.0","Mortality_rate_roots"
"384","macrophytes","water","mortality","mortality_rate","pclake","kMortVegSum","parameters/kMortVegSum","d^-1","0.005","1.0.0","Vegetation_mortality_rate_in_Spring_and_Summer_(low)"
"385","macrophytes","water","respiration","respiration_rate","pclake","kDRespPhra","parameters/kDRespPhra","d^-1","0.001","1.0.0","Respiration_rate_of_reed"
"386","macrophytes","water","respiration","respiration_rate","pclake","kDRespVeg","parameters/kDRespVeg","d^-1","0.016","1.0.0","Dark_respiration_rate_of_vegetation"
"387","macrophytes","water","respiration","respiration_rate","pclake","cQ10RespVeg","parameters/cQ10RespVeg","-","2","1.0.0","Temperature_quotient_of_respiration"
"388","macrophytes","water","respiration","respiration_rate","pclake","cQ10RespPhra","parameters/cQ10RespPhra","1^[oC^-1]","2.5","1.0.0","Temp_quotient_of_respiration"
"389","macrophytes","water","stoichiometry","emerging_fraction","pclake","fEmergVeg","parameters/fEmergVeg","gDW*gDW^-1","0","1.0.0","Emergent_fraction_of_shoot"
"390","macrophytes","water","stoichiometry","equation_options_uptake_nutrients","pclake","UseEmpUpt","parameters/UseEmpUpt","(integer)","0","1.0.0","False_=_do_not_use_this_empirical_relation"
"391","macrophytes","water","stoichiometry","floating_fraction","pclake","cDLayerVeg","parameters/cDLayerVeg","gDW*m^-2","0","1.0.0","Biomass_of_a_single_layer_floating_leaves"
"392","macrophytes","water","stoichiometry","floating_fraction","pclake","fFloatVeg","parameters/fFloatVeg","gDW*gDW^-1","0","1.0.0","Floating_fraction_of_shoot"
"393","macrophytes","water","stoichiometry","height","pclake","cVegHeightWin","parameters/cVegHeightWin","m","2","1.0.0","Height_of_vegetation_in_Winter"
"394","macrophytes","water","stoichiometry","height","pclake","cVegHeight","parameters/cVegHeight","m","3","1.0.0","Height_of_vegetation_in_summer"
"395","macrophytes","water","stoichiometry","height","pclake","cVegMaxHeight","parameters/cVegMaxHeight","m","3","1.0.0","Maximum_height_of_vegetation"
"396","macrophytes","water","stoichiometry","nitrogen_ratio","pclake","cNDPhraMin","parameters/cNDPhraMin","-","0.008","1.0.0","MinPhra_N/day_-ratio"
"397","macrophytes","water","stoichiometry","nitrogen_ratio","pclake","cNDVegMin","parameters/cNDVegMin","gN*gDW^-1","0.01","1.0.0","Minimum_N/day_ratio_vegetation"
"398","macrophytes","water","stoichiometry","nitrogen_ratio","pclake","cNDPhraMax","parameters/cNDPhraMax","-","0.03","1.0.0","MaxPhra_N/day_-ratio"
"399","macrophytes","water","stoichiometry","nitrogen_ratio","pclake","cNDVegMax","parameters/cNDVegMax","gN*gDW^-1","0.035","1.0.0","Maximum_N/day_ratio_vegetation"
"400","macrophytes","water","stoichiometry","nutrient_ratio","pclake","fDetWMortVeg","parameters/fDetWMortVeg","-","0.1","1.0.0","Fraction_of_shoot_mortality_becoming_water_detritus"
"401","macrophytes","water","stoichiometry","nutrient_ratio","pclake","fDissMortVeg","parameters/fDissMortVeg","-","0.25","1.0.0","Fraction_dissolved_nutrients_from_died_plants"
"402","macrophytes","water","stoichiometry","phosphorus_ratio","pclake","cPDPhraMin","parameters/cPDPhraMin","-","8.00E-04","1.0.0","MinPhra_P/day_-ratio"
"403","macrophytes","water","stoichiometry","phosphorus_ratio","pclake","cPDVegMin","parameters/cPDVegMin","gP*gDW^-1","8.00E-04","1.0.0","Minimum_P/day_ratio_vegetation"
"404","macrophytes","water","stoichiometry","phosphorus_ratio","pclake","cPDPhraMax","parameters/cPDPhraMax","-","0.003","1.0.0","MaxPhra_P/day_-ratio"
"405","macrophytes","water","stoichiometry","phosphorus_ratio","pclake","cPDVegMax","parameters/cPDVegMax","gP*gDW^-1","0.0035","1.0.0","Maximum_P/day_ratio_vegetation"
"406","macrophytes","water","stoichiometry","root_fraction","pclake","fRootVegSum","parameters/fRootVegSum","gDW*gDW^-1","0.1","1.0.0","Root_fraction_outside_growing_season"
"407","macrophytes","water","stoichiometry","root_fraction","pclake","fRootVegWin","parameters/fRootVegWin","gDW*gDW^-1","0.6","1.0.0","Root_fraction_outside_growing_season"
"408","macrophytes","water","stoichiometry","shoot_fraction","pclake","cDShootPhraMax","parameters/cDShootPhraMax","gDW*m^-2","3500","1.0.0","Max_shoot_biomass_of_reed"
"409","macrophytes","water","stoichiometry","stem","pclake","cDStemVeg","parameters/cDStemVeg","gDW*m^-1","1.97","1.0.0","Weight_of_stem_per_m_of_length_grown"
"410","macrophytes","water","stoichiometry","stem","pclake","cDStemPhra","parameters/cDStemPhra","gDW*m^-1","6","1.0.0","Average_stem_weight"
"411","macrophytes","water","stoichiometry","stem","pclake","cDensVeg","parameters/cDensVeg","m^-2","10","1.0.0","Density_of_vegetation_stems_per_m2"
"412","macrophytes","water","stoichiometry","stem","pclake","cDensStemPhra","parameters/cDensStemPhra","m^-2","61.5","1.0.0","Density_stem(+/-_139)"
"413","macrophytes","water","stoichiometry","uptake_n","pclake","cAffNUptPhra","parameters/cAffNUptPhra","m^3*gDW^-1*d^-1","2.00E-04","1.0.0","N_uptake_affinity_reed"
"414","macrophytes","water","stoichiometry","uptake_n","pclake","cVNUptMaxVeg","parameters/cVNUptMaxVeg","gN*gDW^-1*d^-1","0.1","1.0.0","Maximum_N_uptake_capacity_of_vegetation"
"415","macrophytes","water","stoichiometry","uptake_n","pclake","cVNUptPhraMax","parameters/cVNUptPhraMax","gN*gDW^-1*d^-1","0.1","1.0.0","Max_uptake_rate_N_001"
"416","macrophytes","water","stoichiometry","uptake_n","pclake","cAffNUptVeg","parameters/cAffNUptVeg","m^3*gDW^-1*d^-1","0.2","1.0.0","Initial_N_uptake_affinity_vegetation"
"417","macrophytes","water","stoichiometry","uptake_p","pclake","cAffPUptPhra","parameters/cAffPUptPhra","m^3*gDW^-1*d^-1","2.00E-04","1.0.0","P_uptake_affinity_reed"
"418","macrophytes","water","stoichiometry","uptake_p","pclake","cVPUptMaxVeg","parameters/cVPUptMaxVeg","gP*gDW^-1*d^-1","0.01","1.0.0","Maximum_P_uptake_capacity_of_vegetation"
"419","macrophytes","water","stoichiometry","uptake_p","pclake","cVPUptPhraMax","parameters/cVPUptPhraMax","gP*gDW^-1","0.01","1.0.0","Max_uptake_rate_P_0001"
"420","macrophytes","water","stoichiometry","uptake_p","pclake","cAffPUptVeg","parameters/cAffPUptVeg","m^3*gDW^-1*d^-1","0.2","1.0.0","Initial_P_uptake_affinity_vegetation"
"421","macrophytes","water_marsh","initial_conditions","initial_macrophytes","pclake","sDDetWM0","initialstates/sDDetWM0","gDW*m^-2","","1.0.0","Detritus_DW_in_marsh_water"
"422","macrophytes","water_marsh","initial_conditions","initial_macrophytes","pclake","sDIMWM0","initialstates/sDIMWM0","gDW*m^-2","","1.0.0","Inorganic_matter_in_marsh_water"
"423","macrophytes","water_marsh","initial_conditions","initial_macrophytes","pclake","sDepthWM0","initialstates/sDepthWM0","m","","1.0.0","Depth_of_marsh_water"
"424","macrophytes","water_marsh","initial_conditions","initial_macrophytes","pclake","uDTotM0","initialstates/uDTotM0","gDW*m^-2","","1.0.0","Total_initial_DW_in_the_marsh"
"425","macrophytes","sediment","stoichiometry","nutrient_ratio","wet","fDissMortVeg","{group_name}/parameters/fDissMortVeg","-","0.25","1","dissolved inorganic nutrient fraction of dead plants"
"426","phytoplankton","water","growth","equation_options_light_limitation","aed2","lightModel","phyto_data/pd%lightModel","(integer)","0","1.0.0","1: ; 2:"
"427","nitrogen","sediment","denitrification","refractory_fractions","pclake","fRefrDetS","parameters/fRefrDetS","-","0.15","1.0.0","Refractory_fraction_of_sed_detritus"
"428","nitrogen","sediment","denitrification","refractory_fractions","selmaprotbas","fds","selmaprotbas/parameters/fds","-","0.7","1.0.0","fraction of sediment remineralization fueled by denitrification"
"429","phytoplankton","water","growth","n_limitation","aed2","N_o","phyto_data/pd%N_o","mmol N m-2","0","1.0.0","minimum nitrogen concentration for uptake"
"430","nitrogen","sediment","initial_conditions","initial_ammonium","pclake","sNH4S0","initialstates/sNH4S0","gN*m^-2","","1.0.0","N_in_NH4_in_lake_sediment_pore_water"
"431","carbon","sediment","sediment_characteristics","sediment_composition","wet","nPOM","burial/parameters/Npom","","2","2.3",""
"432","macrophytes","sediment","growth","phenology","wet","fEmergVeg","{group_name}/parameters/fEmergVeg","gfloating/gshoot","0","1","emergent fraction of shoot"
"433","nitrogen","sediment","initial_conditions","initial_humus","pclake","sNHumS0","initialstates/sNHumS0","gN*m^-2","","1.0.0","Humus_N_in_lake_sediment"
"434","phosphorus","sediment","absorption","inorganic_matter_composition","wet","fFeDIM","abiotic_sediment/parameters/fFeDIM","gFe/gD","0.04","1","Fe content of inorganic matter"
"435","nitrogen","sediment","initial_conditions","initial_nitrate","pclake","sNO3S0","initialstates/sNO3S0","gN*m^-2","","1.0.0","N_in_NO3_in_lake_sediment_pore_water"
"436","phosphorus","water","absorption","inorganic_matter_composition","wet","fFeDIMW","abiotic_water/parameters/fFeDIMW","gFe/gDW","0.01","1","Fe content of inorganic matter"
"437","nitrogen","sediment","initial_conditions","initial_nitrogen","selmaprotbas","fl_n","selmaprotbas/initialization/fl_n","mmol N m-2","30","1.0.0","initial nitrogen fluff (= active sediment)"
"438","nitrogen","sediment","initial_conditions","initial_pom","pclake","sNDetS0","initialstates/sNDetS0","gN*m^-2","","1.0.0","Detritus_N_in_lake_sediment"
"439","nitrogen","sediment","nitrification","nitrification","pclake","kNitrS","parameters/kNitrS","d^-1","1","1.0.0","Nitrification_rate_constant_in_sediment"
"440","nitrogen","sediment","sediment_characteristics","sediment_composition","pclake","cNDSoilOM","parameters/cNDSoilOM","gN*gDW^-1","0.01","1.0.0","N/day_ratio_of_soil_organic_matter"
"441","macrophytes","sediment","growth","phenology","wet","fFloatVeg","{group_name}/parameters/fFloatVeg","gfloating/gshoot","0","1","floating fraction of shoot"
"442","carbon","sediment","sediment_characteristics","sediment_composition","wet","nPOMexch","burial/parameters/nPOMexch","","1","2.3",""
"443","carbon","sediment","sediment_characteristics","sediment_composition","wet","nDOM","burial/parameters/Ndom","","1","2.3",""
"444","phytoplankton","water","vertical_movement","equation_options_vertical_velocity","selmaprotbas","buoy_nutrient","{group_name}/parameters/buoy_nutrient","(boolean)","FALSE","1.0.0","whether nutrient limitation can regulate buoyancy;  if buoyancy_regulation is true"
"445","phytoplankton","water","growth","p_limitation","aed2","P_0","phyto_data/pd%P_0","mmol P m-3","0","1.0.0","minimum phosphorus concentration for uptake"
"446","phytoplankton","water","vertical_movement","vertical_velocity","selmaprotbas","buoy_nutrient_limit","{group_name}/parameters/buoy_nutrient_limit","-","0","1.0.0","if nutrient limitation falls below this value (0-1);  vertical velocity is set to vert_vel_nutrient;  if buoyancy_regulation = true"
"447","nitrogen","sediment","water_sediment_exchange","sediment_flux_ammonium","aed2","theta_sed_amm","aed2_nitrogen/theta_sed_amm","?","1.07","1.0.0","Arrhenius temperature multiplier for ammonium sediment flux"
"448","nitrogen","sediment","water_sediment_exchange","sediment_flux_ammonium","aed2","Fsed_amm","aed2_nitrogen/Fsed_amm","?","22","1.0.0","Sediment-water flux for ammonium"
"449","nitrogen","sediment","water_sediment_exchange","sediment_flux_ammonium","aed2","Ksed_amm","aed2_nitrogen/Ksed_amm","mmol m-3","15","1.0.0","saturation concentration in ammonium sediment flux equation"
"450","nitrogen","sediment","water_sediment_exchange","sediment_flux_n2o","aed2","Fsed_n2o","aed2_nitrogen/Fsed_n2o","?","0","1.0.0","Sediment-water flux for n2o"
"451","nitrogen","sediment","water_sediment_exchange","sediment_flux_n2o","aed2","Ksed_n2o","aed2_nitrogen/Ksed_n2o","?","100","1.0.0","saturation concentration in n2o sediment equation"
"452","nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","aed2","theta_sed_nit","aed2_nitrogen/theta_sed_nit","?","1.07","1.0.0","Arrhenius temperature multiplier for nitrate sediment flux"
"453","nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","aed2","Fsed_nit","aed2_nitrogen/Fsed_nit","?","-7","1.0.0","Sediment-water flux for nitrate"
"454","nitrogen","sediment","water_sediment_exchange","sediment_flux_nitrate","aed2","Ksed_nit","aed2_nitrogen/Ksed_nit","mmol m-3","15","1.0.0","saturation concentration in nitrate sediment flux equation"
"455","nitrogen","sediment_marsh","initial_conditions","initial_ammonium","pclake","sNH4SM0","initialstates/sNH4SM0","gN*m^-2","","1.0.0","N_in_NH4_in_marsh_sediment_pore_water"
"456","nitrogen","sediment_marsh","initial_conditions","initial_humus","pclake","sNHumSM0","initialstates/sNHumSM0","gN*m^-2","","1.0.0","Humus_N_in_marsh_sediment"
"457","nitrogen","sediment_marsh","initial_conditions","initial_nitrate","pclake","sNO3SM0","initialstates/sNO3SM0","gN*m^-2","","1.0.0","N_in_NO3_in_marsh_sediment_pore_water"
"458","nitrogen","sediment_marsh","initial_conditions","initial_pom","pclake","sNDetSM0","initialstates/sNDetSM0","gN*m^-2","","1.0.0","Detritus_N_in_marsh_sediment"
"459","nitrogen","water","ammonification","ammonification","pclake","O2PerNO3","parameters/O2PerNO3","-","1.5","1.0.0","Mol_O2_formed_per_mol_NO3-_ammonified"
"460","nitrogen","water","ammonium_oxidation","ammonium_oxidation","aed2","Kpart_ammox","aed2_nitrogen/Kpart_ammox","?","1","1.0.0","saturation concentration in ammonium oxidation equation"
"461","nitrogen","water","anammox","anammox","aed2","Ranammox","aed2_nitrogen/Ranammox","?","0.001","1.0.0","anaerobic ammonium oxidation rate"
"462","nitrogen","water","anammox","anammox","aed2","Kin_deamm","aed2_nitrogen/Kin_deamm","?","1","1.0.0","saturation concentration in deammonification equation"
"463","nitrogen","water","anammox","anammox","aed2","Kanmx_amm","aed2_nitrogen/Kanmx_amm","?","2","1.0.0","saturation concentration in anammox equation for ammonium"
"464","nitrogen","water","anammox","anammox","aed2","Kanmx_nit","aed2_nitrogen/Kanmx_nit","?","2","1.0.0","saturation concentration in anammox equation for nitrate"
"465","phytoplankton","water","vertical_movement","equation_options_vertical_movement","wet","fLVMmin","{group_name}/parameters/fLVMmin","W/m2","0.025","1","qTrans > 2; minimum detectable PAR level"
"466","nitrogen","water","denitrification","denitrification","selmaprotbas","ade_r0","selmaprotbas/parameters/ade_r0","d-1","0.1","1.0.0","maximum chemoautolithotrophic denitrification rate"
"467","nitrogen","water","denitrification","denitrification","aed2","Rdenit","aed2_nitrogen/Rdenit","d-1","0.2","1.0.0","maximum reaction rate of denitrification @ 20C"
"468","nitrogen","water","denitrification","denitrification","pclake","NO3PerC","parameters/NO3PerC","-","0.8","1.0.0","Mol_NO3_denitrified_per_mol_C_mineralised"
"469","nitrogen","water","denitrification","denitrification","selmaprotbas","alphaade","selmaprotbas/parameters/alphaade","mmol N m-3","1","1.0.0","half-saturation constant for chemoautolithotrophic denitrification"
"470","nitrogen","water","denitrification","denitrification","aed2","theta_denit","aed2_nitrogen/theta_denit","-","1.07","1.0.0","Arrhenius temperature multiplier for denitrification"
"471","nitrogen","water","denitrification","denitrification","pclake","hNO3Denit","parameters/hNO3Denit","gN*m^-3","2","1.0.0","Quadratic_half-sat_NO3_conc_for_denitrification"
"472","nitrogen","water","denitrification","denitrification","aed2","Kdenit","aed2_nitrogen/Kdenit","mmol m-3","18","1.0.0","saturation concentration in denitrification equation"
"473","phosphorus","sediment","absorption","absorption","wet","fRedMaxS","abiotic_sediment/parameters/fRedMaxS","-","0.96","1","max. reduction factor of P adsorption affinity"
"474","phosphorus","water","absorption","absorption","wet","fRedMaxW","abiotic_water/parameters/fRedMaxW","-","0.9","1","maximum reduction factor of P adsorption affinity"
"475","nitrogen","water","denitrification","nitrate_reduc_to_ammonium","aed2","Rdnra","aed2_nitrogen/Rdnra","?","0.01","1.0.0","rate of dissimilatory nitrate reduction to ammonium"
"476","nitrogen","water","denitrification","nitrate_reduc_to_ammonium","aed2","Kdnra_oxy","aed2_nitrogen/Kdnra_oxy","?","2","1.0.0","saturation concentration in DNRA equation"
"477","nitrogen","water","initial_conditions","initial_ammonium","aed2","amm_initial","aed2_nitrogen/amm_initial","mmol N m-3","2.6","1.0.0","initial NH4 concentration"
"478","nitrogen","water","initial_conditions","initial_ammonium","selmaprotbas","aa","selmaprotbas/initialization/aa","mmol N m-3","0.85","1.0.0","initial dissolved ammonium in the water column"
"479","nitrogen","water","initial_conditions","initial_ammonium","pclake","sNH4WEpi0","initialstates/sNH4WEpi0","gN*m^-2","","1.0.0","N_in_NH4_in_epilimnion_lake_water"
"480","nitrogen","water","initial_conditions","initial_ammonium","pclake","sNH4WHyp0","initialstates/sNH4WHyp0","gN*m^-2","","1.0.0","N_in_NH4_in_hypolimnion_lake_water"
"481","nitrogen","water","initial_conditions","initial_humus","pclake","cNDHum0","initialstates/cNDHum0","gN*gDW^-1","0.05","1.0.0","Initial_N_fraction_in_humus"
"482","nitrogen","water","initial_conditions","initial_n2o","aed2","n2o_initial","aed2_nitrogen/n2o_initial","?","0.1","1.0.0","initial n2o in the water column"
"483","nitrogen","water","initial_conditions","initial_nitrate","aed2","nit_initial","aed2_nitrogen/nit_initial","mmol N m-3","0.1","1.0.0","initial NO3 concentration"
"484","nitrogen","water","initial_conditions","initial_nitrate","selmaprotbas","nn","selmaprotbas/initialization/nn","mmol N m-3","3.5","1.0.0","initial dissolved nitrate in the water column"
"485","nitrogen","water","initial_conditions","initial_nitrate","pclake","sNO3WEpi0","initialstates/sNO3WEpi0","gN*m^-2","","1.0.0","N_in_NO3_in_epilimnion_lake_water"
"486","nitrogen","water","initial_conditions","initial_nitrate","pclake","sNO3WHyp0","initialstates/sNO3WHyp0","gN*m^-2","","1.0.0","N_in_NO3_in_hypolimnion_lake_water"
"487","macrophytes","sediment","growth","phenology","wet","fRootVegSum","{group_name}/parameters/fRootVegSum","groot/gveg","0.1","1","root fraction during growing season"
"488","nitrogen","water","initial_conditions","initial_nitrogen","pclake","sNExtTotT0","initialstates/sNExtTotT0","gN*m^-2","","1.0.0","Total_amount_of_N_moved_into_or_out_from_the_system"
"489","nitrogen","water","initial_conditions","initial_nitrogen","pclake","uNTotT0","initialstates/uNTotT0","gN*m^-2","","1.0.0","Total_initial_N_in_the_lake"
"490","nitrogen","water","initial_conditions","initial_nitrogen","pclake","uNTotTHyp0","initialstates/uNTotTHyp0","gN*m^-2","","1.0.0","Total_initial_N_in_the_lake"
"491","nitrogen","water","initial_conditions","initial_nitrogen","pclake","uNTotTSurf0","initialstates/uNTotTSurf0","gN*m^-2","","1.0.0","Total_initial_N_at_the_surface"
